cell,feature,seq_len,pred_len,batch_size,num_hidden,num_layer,dropout,learning_rate,data_path,max_train_epochs,exp_num,predict,device,enc_in,dec_in,dec_out,actual_train_epochs,train_cost_time,test_mse,test_mae
LSTM,MS,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,6,33.02253485,5.854121118,1.824552273
LSTM,MS,40,8,32,64,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,10,54.76926994,5.816527606,1.803584248
,,,,,,,,,,,,,,,,,,,,
GRU,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,42.552284,11.28797741,2.482131807
GRU,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,5,50.97565627,11.28543791,2.500105904
GRU,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,6,60.59662008,11.11766357,2.639289225
GRU,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,5,51.38639545,10.71971918,2.528357484
GRU,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,41.41801381,11.73454399,2.69893534
,,,,,,,,,,,,,,,,,,,,
LSTM,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,6,62.51552153,10.24233013,2.513076736
LSTM,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,5,52.24547195,10.5246575,2.486895194
LSTM,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,41.48080158,12.22586408,2.640542613
LSTM,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,7,72.28227043,9.599245983,2.368296238
LSTM,MS,96,24,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,6,61.67780733,10.8831333,2.581679029
,,,,,,,,,,,,,,,,,,,,
GRU,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,10,151.2746053,14.5522197,2.960437568
GRU,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,5,74.21718287,20.98072197,3.720269239
GRU,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,5,74.45133138,17.4789308,3.161520783
GRU,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,58.95275593,19.33225071,3.562393234
GRU,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,5,73.76065946,13.60723026,2.828512623
,,,,,,,,,,,,,,,,,,,,
LSTM,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,64.48521447,12.81385956,2.699458028
LSTM,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,63.11994529,18.03075692,3.462372557
LSTM,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,7,109.5915153,12.69311623,2.708002333
LSTM,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,8,128.1002038,14.73431573,2.92623694
LSTM,MS,160,40,32,256,2,0.1,0.005,./data/Weather_WH.csv,10,5,FALSE,cuda,9,4,1,4,64.7684176,15.54845137,3.186763964
